week,title,practice,deliverable,target_duration,github_week,colab,script,recording_notes,subtitle
1,AI 협업 코딩과 Colab 시작,환경 진단과 자기소개 프로그램,실행 가능한 첫 Colab 노트북과 AI 사용 기록,26:30,https://github.com/MNU-AI-Programming/AI-Assisted-Python-Programming/tree/main/weeks/week01,https://colab.research.google.com/github/MNU-AI-Programming/AI-Assisted-Python-Programming/blob/main/weeks/week01/practice.ipynb,week01/lecture_script.md,week01/recording_notes.md,week01/subtitle_draft.srt
2,입력·계산·문자열,여행 경비 계산기,입력과 계산을 분리한 생활 문제 계산기,26:30,https://github.com/MNU-AI-Programming/AI-Assisted-Python-Programming/tree/main/weeks/week02,https://colab.research.google.com/github/MNU-AI-Programming/AI-Assisted-Python-Programming/blob/main/weeks/week02/practice.ipynb,week02/lecture_script.md,week02/recording_notes.md,week02/subtitle_draft.srt
3,조건문과 반복문으로 흐름 제어,AI 부트캠프 장학 기준 판정기,여러 조건과 반복을 적용한 판정 프로그램,26:30,https://github.com/MNU-AI-Programming/AI-Assisted-Python-Programming/tree/main/weeks/week03,https://colab.research.google.com/github/MNU-AI-Programming/AI-Assisted-Python-Programming/blob/main/weeks/week03/practice.ipynb,week03/lecture_script.md,week03/recording_notes.md,week03/subtitle_draft.srt
4,리스트·튜플·집합·딕셔너리,학생 성적 레코드 분석,구조화된 학생 데이터와 요약 통계,26:30,https://github.com/MNU-AI-Programming/AI-Assisted-Python-Programming/tree/main/weeks/week04,https://colab.research.google.com/github/MNU-AI-Programming/AI-Assisted-Python-Programming/blob/main/weeks/week04/practice.ipynb,week04/lecture_script.md,week04/recording_notes.md,week04/subtitle_draft.srt
5,함수·모듈·테스트 가능한 코드,재사용 가능한 성적 계산 함수,입력·처리·출력을 분리한 함수 모음,26:30,https://github.com/MNU-AI-Programming/AI-Assisted-Python-Programming/tree/main/weeks/week05,https://colab.research.google.com/github/MNU-AI-Programming/AI-Assisted-Python-Programming/blob/main/weeks/week05/practice.ipynb,week05/lecture_script.md,week05/recording_notes.md,week05/subtitle_draft.srt
6,파일·CSV·예외 처리,CSV 성적 파일 읽기와 검증,오류에 견고한 CSV 처리 프로그램,26:30,https://github.com/MNU-AI-Programming/AI-Assisted-Python-Programming/tree/main/weeks/week06,https://colab.research.google.com/github/MNU-AI-Programming/AI-Assisted-Python-Programming/blob/main/weeks/week06/practice.ipynb,week06/lecture_script.md,week06/recording_notes.md,week06/subtitle_draft.srt
7,클래스와 객체지향 설계,도서 대출 관리 클래스,상태와 동작을 함께 관리하는 클래스,26:30,https://github.com/MNU-AI-Programming/AI-Assisted-Python-Programming/tree/main/weeks/week07,https://colab.research.google.com/github/MNU-AI-Programming/AI-Assisted-Python-Programming/blob/main/weeks/week07/practice.ipynb,week07/lecture_script.md,week07/recording_notes.md,week07/subtitle_draft.srt
8,중간 실기: Python 문제 해결,성적 분석 미니 프로젝트,중간 실기 노트북과 1쪽 기술 메모,26:30,https://github.com/MNU-AI-Programming/AI-Assisted-Python-Programming/tree/main/weeks/week08,https://colab.research.google.com/github/MNU-AI-Programming/AI-Assisted-Python-Programming/blob/main/weeks/week08/practice.ipynb,week08/lecture_script.md,week08/recording_notes.md,week08/subtitle_draft.srt
9,NumPy와 배열 사고,센서 데이터의 빠른 요약,배열 기반 기초 통계와 이상값 탐지,26:30,https://github.com/MNU-AI-Programming/AI-Assisted-Python-Programming/tree/main/weeks/week09,https://colab.research.google.com/github/MNU-AI-Programming/AI-Assisted-Python-Programming/blob/main/weeks/week09/practice.ipynb,week09/lecture_script.md,week09/recording_notes.md,week09/subtitle_draft.srt
10,pandas로 데이터 불러오기와 탐색,성적 데이터 탐색,데이터 구조·품질·기초통계 탐색 보고,26:30,https://github.com/MNU-AI-Programming/AI-Assisted-Python-Programming/tree/main/weeks/week10,https://colab.research.google.com/github/MNU-AI-Programming/AI-Assisted-Python-Programming/blob/main/weeks/week10/practice.ipynb,week10/lecture_script.md,week10/recording_notes.md,week10/subtitle_draft.srt
